book,chapter,verse,text,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,dominant_topic
Isaiah,1.0,17.0,learn seek judgment relieve oppressed judge fatherless plead widow,0.7540573878238017,0.018550053396478347,0.171531201979215,0.018568124616040717,0.018696318937930074,0.018596913246534088,0
Isaiah,1.0,18.0,come let reason saith lord sin scarlet shall white snow red like crimson shall wool,0.015200243404690374,0.015257528827932246,0.015376481620939192,0.23902045914646047,0.015360038892097007,0.6997852481078807,5
Isaiah,1.0,19.0,ye willing obedient ye shall eat good land,0.03382429141483924,0.03349105044005539,0.033414675705252264,0.03341956693919171,0.03353306186205465,0.8323173536386067,5
Isaiah,1.0,20.0,ye refuse rebel ye shall devour sword mouth lord hath speak,0.020916522181993052,0.020940395349641903,0.02097474646973183,0.021013354811574313,0.021018792377918052,0.8951361888091408,5
Isaiah,1.0,21.0,faithful city harlot judgment righteousness lodge murderer,0.5198887346561482,0.38428702442266566,0.023874508179920442,0.023910065506471255,0.023832647456010745,0.024207019778783746,0
Isaiah,1.0,22.0,thy silver dross thy wine mix water,0.03375167464928313,0.6097156426406691,0.03337977634220678,0.25579622360578746,0.03359924555361379,0.03375743720843965,1
Isaiah,1.0,23.0,thy prince rebellious companion thief loveth gift followeth reward judge fatherless doth cause widow come unto,0.5456424285970972,0.01691280038479473,0.3870793642815378,0.01683739730679998,0.016736205847030255,0.01679180358274018,0
Isaiah,1.0,24.0,saith lord lord host mighty israel ah ease adversary avenge enemy,0.015194180841646997,0.015272062533707291,0.9236717371115708,0.01520331892667583,0.01538873053789091,0.01526997004850834,2
Isaiah,1.0,25.0,turn hand thee purely purge away thy dross away thy tin,0.023878885149796497,0.02383000239436441,0.02388292234808915,0.8806101572215551,0.02385810694950435,0.0239399259366904,3
Isaiah,1.0,26.0,restore thy judge thy counsellor beginning afterward thou shalt call city righteousness faithful city,0.13241398662063458,0.8066727972197193,0.01522536888221588,0.015245985141678062,0.015210358715427242,0.015231503420324914,1
Isaiah,1.0,27.0,zion shall redeem judgment convert righteousness,0.860845047801369,0.027798174339345637,0.02784204285319318,0.02779358893876051,0.027819499497981445,0.027901646569350323,0
Isaiah,1.0,28.0,destruction transgressor sinner shall forsake lord shall consume,0.023926561971636527,0.023874936499893716,0.023990330593782184,0.024074781679200036,0.024092294471765988,0.8800410947837216,5
Isaiah,1.0,29.0,shall ashamed oak ye desire ye shall confound garden ye choose,0.880551766675898,0.02384642395003459,0.02388168473293398,0.023852212478515333,0.02393959215426761,0.0239283200083507,0
Isaiah,1.0,30.0,ye shall oak leaf fadeth garden hath water,0.8606492577209615,0.027799819954974478,0.02778612079544605,0.028044979798240756,0.02790600580558587,0.027813815924791305,0
Isaiah,1.0,31.0,strong shall tow maker spark shall burn shall quench,0.8802605650484163,0.024026954122991065,0.024100475436089785,0.023809737117222934,0.02388626290309984,0.023916005372179933,0
Isaiah,2.0,1.0,word isaiah son amoz see concern judah jerusalem,0.020937535355115267,0.8956221565661193,0.020868001070366043,0.02084409274793179,0.020874773475613447,0.020853440784854144,1
Isaiah,2.0,2.0,shall come pass day mountain lord house shall establish mountain shall exalt hill nation shall flow unto,0.012879521669704757,0.012952653484226095,0.012983829961907575,0.012930814744874354,0.012945453055776922,0.9353077270835103,5
Isaiah,2.0,3.0,people shall come ye let mountain lord house god jacob teach way walk path zion shall forth law word lord jerusalem,0.008814962483689334,0.4228746540077565,0.5417860717112706,0.008839637138043865,0.008849193120629043,0.008835481538610837,2
Isaiah,2.0,4.0,shall judge nation shall rebuke people shall beat sword plowshare spear pruninghook nation shall lift sword nation shall learn war,0.012915118231482298,0.01291834748090754,0.012922223771042005,0.9353366067383964,0.012967882420467784,0.012939821357704004,3
Isaiah,2.0,5.0,o house jacob come ye let walk light lord,0.02092307331790786,0.021098058263892636,0.5510944183799726,0.36483077054369695,0.02107103396343248,0.020982645531097573,2
Isaiah,2.0,6.0,thou hast forsake thy people house jacob replenish east soothsayer like philistines child stranger,0.013921465466753873,0.013957994272477604,0.014061620374852077,0.014082236060075434,0.9299653971538442,0.014011286671996788,4
Isaiah,2.0,7.0,land silver gold end treasure land horse end chariot,0.01671713421642675,0.9160588752016291,0.016858567813018307,0.01679386029137719,0.01675587652075465,0.01681568595679416,1
Isaiah,2.0,8.0,land idol worship work hand finger,0.023981983975871694,0.02387608510608473,0.02398092290963918,0.023950464438617376,0.48607206318865254,0.41813848038113444,4
Isaiah,2.0,9.0,mean man boweth great man humbleth forgive,0.023934922989738115,0.02384983770263895,0.023947295038726016,0.023950461884202957,0.023818292148580007,0.8804991902361139,5
Isaiah,2.0,10.0,enter rock hide thee dust fear lord glory majesty,0.01858749209753314,0.01857601755431607,0.9068251855881663,0.01859059662592005,0.018691175979745272,0.01872953215431926,2
Isaiah,2.0,11.0,lofty look man shall humble haughtiness man shall bow lord shall exalt day,0.015350964985429054,0.015213873656818776,0.015212602340433682,0.015190759159159881,0.01535741492195297,0.9236743849362056,5
Isaiah,2.0,12.0,day lord host shall proud lofty lift shall bring low,0.018761315110305342,0.018719033976911645,0.018702609303801025,0.018682645095687823,0.9063176726843368,0.01881672382895726,4
Isaiah,2.0,13.0,cedar lebanon high lift oak bashan,0.880096695771449,0.02403911564115079,0.023816878847114545,0.023949894390098377,0.024287734760100394,0.023809680590086934,0
Isaiah,2.0,14.0,high mountain hill lift,0.03341254212917407,0.033369239734595324,0.03339280760446954,0.03345176050579002,0.8326510225864223,0.03372262743954872,4
Isaiah,2.0,15.0,high tower fence wall,0.03337364145759768,0.0337324341613569,0.033333635195794256,0.832717080541101,0.03343406115447162,0.03340914748967844,3
Isaiah,2.0,16.0,ship tarshish pleasant picture,0.04166769333467084,0.790058230337633,0.04234243507900152,0.04237155150499331,0.04166725105057503,0.04189283869312618,1
Isaiah,2.0,17.0,loftiness man shall bow haughtiness man shall low lord shall exalt day,0.01857503992676308,0.018594299357347792,0.018596580889150602,0.018579049771653953,0.018642299160004237,0.9070127308950803,5
Isaiah,2.0,18.0,idol shall utterly abolish,0.7905698518405653,0.04176094483951889,0.04175581211694197,0.041738917477564245,0.04193907050354571,0.04223540322186388,0
Isaiah,2.0,19.0,shall hole rock cave earth fear lord glory majesty ariseth shake terribly earth,0.013984324290089313,0.01394918516494417,0.01407873481644876,0.01398255324215796,0.013993719841440934,0.930011482644919,5
Isaiah,2.0,20.0,day man shall cast idol silver idol gold worship mole bat,0.018544516465972462,0.0187112570022835,0.018633825495951675,0.01863546454520544,0.01866172565445828,0.9068132108361285,5
Isaiah,2.0,21.0,cleft rock top ragged rock fear lord glory majesty ariseth shake terribly earth,0.01522791921271828,0.015208400386419582,0.015349263257597872,0.015243015316606757,0.015261707119776327,0.9237096947068811,5
Isaiah,2.0,22.0,cease ye man breath nostril account,0.041774004280992365,0.041786571921009236,0.041877456575882266,0.04189678483310426,0.04195252004074967,0.7907126623482622,5
Isaiah,3.0,1.0,behold lord lord hosts doth away jerusalem judah stay staff stay bread stay water,0.9398100752259344,0.01199552313177283,0.01205507694223994,0.011990501753009078,0.012084529101974679,0.012064293845069133,0
Isaiah,3.0,2.0,mighty man man war judge prophet prudent ancient,0.01866095923259346,0.9068135522379914,0.01864559356617755,0.018589850262135353,0.01861955716276101,0.018670487538341045,1
Isaiah,3.0,3.0,captain honourable man counsellor cunning artificer eloquent orator,0.027865803827345062,0.028031270420825267,0.027886676780137783,0.027864554521017354,0.028037180032212807,0.8603145144184617,5
Isaiah,3.0,4.0,child prince babe shall rule,0.042183327627905755,0.041714845167063426,0.7906810281196079,0.0418087965804152,0.041807752313495546,0.041804250191512064,2
Isaiah,3.0,5.0,people shall oppress neighbour child shall behave proudly ancient base honourable,0.024249254481231913,0.024272786389173868,0.8796711555143794,0.02384964622797613,0.023971570370532807,0.023985587016705907,2
Isaiah,3.0,6.0,man shall hold brother house father say thou hast clothing thou ruler let ruin thy hand,0.012879833098454831,0.31303056554778047,0.013059198128970656,0.012952900847662718,0.012971015938126789,0.6351064864390045,5
Isaiah,3.0,7.0,day shall swear say healer house bread clothing ruler people,0.01863265760161953,0.01880846401262674,0.01867920063542787,0.018625529195183694,0.01866471191797922,0.906589436637163,5
Isaiah,3.0,8.0,jerusalem ruin judah fall tongue doing lord provoke eye glory,0.015352052243645907,0.9236293651356468,0.015280865249096692,0.015212536016267925,0.015255604402613946,0.01526957695272883,1
Isaiah,3.0,9.0,shew countenance doth witness declare sin sodom hide woe unto soul reward evil unto,0.013971937320932753,0.9302177364304787,0.013952292529602095,0.013948429866907388,0.013949036227131329,0.013960567624947686,1
Isaiah,3.0,10.0,ye righteous shall shall eat fruit doing,0.03333372506603836,0.03350593847406327,0.03339263496342199,0.03379947492838199,0.03348542322439996,0.8324828033436945,5
Isaiah,3.0,11.0,woe unto wicked shall ill reward hand shall give,0.0334334417712469,0.03352188540984323,0.03361275285639206,0.8326218147473091,0.033412339810723876,0.033397765404484775,3
Isaiah,3.0,12.0,people child oppressor woman rule o people lead thee cause thee err destroy way thy path,0.012880414825579476,0.01294560685866988,0.787787340026147,0.012934164059427898,0.16053587381939774,0.012916600410777976,2
Isaiah,3.0,13.0,lord standeth plead standeth judge people,0.023877669350943046,0.023907317215322587,0.8804565343603986,0.023898179060414953,0.023922725602259578,0.02393757441066128,2
Isaiah,3.0,14.0,lord enter judgment ancient people prince thereof ye eat vineyard spoil poor house,0.36421153768438835,0.2778045834537473,0.013004405478052037,0.012872994833392864,0.31915678764316785,0.012949690907251607,0
Isaiah,3.0,15.0,mean ye ye beat people piece grind face poor saith lord god host,0.3018230182799948,0.013941932768720963,0.6421141262222811,0.014059700281016283,0.014084053082737098,0.013977169365249729,2
Isaiah,3.0,16.0,lord saith daughter zion haughty walk stretch forth neck wanton eye walk mince make tinkling foot,0.012978693628228623,0.012905753730825182,0.9354103962234332,0.012905527366585312,0.012900083241393608,0.012899545809533813,2
Isaiah,3.0,17.0,lord smite scab crown head daughter zion lord discover secret part,0.3171068340270266,0.016717691731586715,0.016856287972963346,0.01679537278063984,0.6156953735612753,0.01682843992650811,4
Isaiah,3.0,18.0,day lord away bravery tinkle ornament foot caul round tire like moon,0.018606984109687145,0.01858443515452599,0.018702686848455094,0.6911117142490661,0.23428618997572356,0.018707989662542213,3
Isaiah,3.0,19.0,chain bracelet muffler,0.08333478474149394,0.5833282384309355,0.08333424406701039,0.08333437284058279,0.08333417749076225,0.0833341824292152,1
Isaiah,3.0,20.0,bonnet ornament leg headband tablet earring,0.0555575933067563,0.05555672421193693,0.055556834119805845,0.05555704187007317,0.3891117620888092,0.38866004440261864,4
Isaiah,3.0,21.0,ring nose jewel,0.05555833875210164,0.05555713169292969,0.720711374956985,0.05672694958850443,0.05588902141540165,0.05555718359407761,2
Isaiah,3.0,22.0,changeable suit apparel mantle wimple crisping pin,0.5825479010988756,0.08333407296479017,0.0833341527766884,0.0833342686426942,0.08333409470308378,0.0841155098138679,0
Isaiah,3.0,23.0,glass fine linen hood vail,0.7219041753679849,0.055556257053625394,0.05578299725437367,0.0555564426452162,0.05555626191140972,0.0556438657673901,0
Isaiah,3.0,24.0,shall come pass instead sweet smell shall stink instead girdle rent instead set hair baldness instead stomacher girding sackcloth burn instead beauty,0.009292588486416783,0.009313583051598892,0.9534068989617421,0.009312337789443582,0.009344865184373285,0.009329726526425377,2
Isaiah,3.0,25.0,thy man shall fall sword thy mighty war,0.02791700271884582,0.8599335668584457,0.02797478194821929,0.027999751826089343,0.028030927420851417,0.028143969227548492,1
Isaiah,3.0,26.0,gate shall lament mourn desolate shall sit ground,0.6557445907897145,0.24839903668016422,0.02382075952055592,0.02410306667394141,0.02387967665211775,0.024052869683506065,0
Isaiah,4.0,1.0,day seven woman shall hold man say eat bread wear apparel let call thy away reproach,0.01285598752164554,0.012927544612976932,0.012847833324632532,0.013069431778261332,0.012890374542559487,0.9354088282199242,5
Isaiah,4.0,2.0,day shall branch lord beautiful glorious fruit earth shall excellent comely escape israel,0.015256532550328149,0.015277854689023993,0.015349643562118398,0.9234578625106776,0.015391266659208034,0.015266840028643685,3
Isaiah,4.0,3.0,shall come pass leave zion remaineth jerusalem shall call holy write living jerusalem,0.016932770554776197,0.40739243246461176,0.01697507727268568,0.01680236568768011,0.5250967677305773,0.016800586289669153,4
Isaiah,4.0,4.0,lord shall wash away filth daughter zion shall purge blood jerusalem midst thereof spirit judgment spirit burn,0.2411267069216161,0.011177993911000215,0.7140558450144482,0.01120816838414899,0.011231698474321643,0.011199587294464802,2
Isaiah,4.0,5.0,lord create dwelling place mount zion assembly cloud smoke day shining flame fire night glory shall defence,0.011272523637143969,0.9437856173903441,0.011246104420248294,0.011233736066808431,0.011263701021980327,0.01119831746347491,1
Isaiah,4.0,6.0,shall tabernacle shadow daytime heat place refuge covert storm rain,0.9164201778973682,0.01670738159707741,0.016696733668934222,0.016733294255249224,0.01672346683992614,0.016718945741444946,0
Isaiah,5.0,1.0,sing wellbelove song beloved touch vineyard wellbeloved hath vineyard fruitful hill,0.020971992396774223,0.020946163031881404,0.020849186861902683,0.020854406627626446,0.16059863054371473,0.7557796205381004,5
Isaiah,5.0,2.0,fence gather stone thereof plant choice vine build tower midst winepress look bring forth grape bring forth wild grape,0.008367224122122692,0.9580783870114964,0.008395072164746279,0.00844012613515259,0.008363533548936396,0.008355657017545726,1
Isaiah,5.0,3.0,o inhabitant jerusalem man judah judge pray betwixt vineyard,0.021013849696916793,0.8951763781018817,0.02097794473602323,0.02086311392910543,0.020840538892311845,0.021128174643760968,1
Isaiah,5.0,4.0,vineyard wherefore look bring forth grape bring forth wild grape,0.015235872024270276,0.9238744383564664,0.015289665841779933,0.015182076756912249,0.015186533888597283,0.015231413131973718,1
Isaiah,5.0,5.0,tell vineyard away hedge thereof shall eat break wall thereof shall trodden,0.016756400533746163,0.22517700661638773,0.016732416456975343,0.016738567543382637,0.016723104607675707,0.7078725042418323,5
Isaiah,5.0,6.0,lay waste shall prune digge shall come brier thorn command cloud rain rain,0.013973692433518503,0.013940794234464792,0.013951780293148615,0.9299833677781967,0.013967987594714695,0.014182377665956647,3
Isaiah,5.0,7.0,vineyard lord host house israel man judah pleasant plant look judgment behold oppression righteousness behold cry,0.3443281174042719,0.3196156802967473,0.3045534050765513,0.010488046857176414,0.010511883779565167,0.010502866585688003,0
Isaiah,5.0,8.0,woe unto join house house lie field field till place place midst earth,0.012943689359106765,0.5523809367309203,0.012925666174021267,0.012877566136728883,0.39597750413123894,0.012894637467983769,1
Isaiah,5.0,9.0,ear say lord host truth house shall desolate great fair inhabitant,0.015349633927575785,0.5123118350510257,0.015331291395318594,0.4263156159159975,0.015282505122918443,0.015409118587163902,1
Isaiah,5.0,10.0,yea acre vineyard shall yield bath seed homer shall yield ephah,0.03343951010388916,0.03347150106173423,0.2591745382826748,0.033399083856396374,0.033419407224486,0.6070959594708194,5
Isaiah,5.0,11.0,woe unto rise early morning follow strong drink continue night till wine inflame,0.015193010266690295,0.9236517775065348,0.01520103730580829,0.015186535739836806,0.015223267924391704,0.015544371256738066,1
Isaiah,5.0,12.0,harp viol tabret pipe wine feast regard work lord consider operation hand,0.013907456467620894,0.013903539766795531,0.013934237130827637,0.014069091054832117,0.9301968208547114,0.013988854725212337,4
Isaiah,5.0,13.0,people go captivity knowledge honourable man famish multitude dry thirst,0.9062877269640282,0.01870620482349504,0.018702265649352998,0.018912949175515986,0.01856673982933922,0.018824113558268397,0
Isaiah,5.0,14.0,hell hath enlarge open mouth measure glory multitude pomp rejoiceth shall descend,0.01668541178209684,0.016708396327417913,0.01672137466912504,0.9163791411007982,0.016749457840691998,0.016756218279870068,3
Isaiah,5.0,15.0,mean man shall bring mighty man shall humble eye lofty shall humble,0.9158165649302368,0.016881807866875258,0.01682675483924888,0.016726447567038207,0.016833909487430035,0.01691451530917078,0
Isaiah,5.0,16.0,lord host shall exalt judgment god holy shall sanctify righteousness,0.13627005854484697,0.01855684430263229,0.018730712015078352,0.018651390700497796,0.7892082313709147,0.018582763066029885,4
Isaiah,5.0,17.0,shall lamb feed manner waste place fat one shall stranger eat,0.01857671970996615,0.018819399736028735,0.018695420926770442,0.01877749142303969,0.6093252993444449,0.3158056688597502,4
Isaiah,5.0,18.0,woe unto draw iniquity cord vanity sin cart rope,0.021030917030203232,0.02100162281231267,0.020921973745072157,0.8953070497173804,0.02086579968265014,0.02087263701238133,3
Isaiah,5.0,19.0,let speed hasten work let counsel holy israel draw nigh come know,0.01411700742317302,0.014096096360140406,0.014060581683119291,0.40835996424860144,0.5354168083543455,0.013949541930620382,4
Isaiah,5.0,20.0,woe unto evil good good evil darkness light light darkness bitter sweet sweet bitter,0.9402300674176429,0.01196750077919203,0.011971500602084554,0.01197601396491302,0.011918619209291763,0.011936298026875725,0
Isaiah,5.0,21.0,woe unto wise eye prudent sight,0.027953279195371578,0.8606948437215045,0.027880827389260638,0.027824195229328788,0.02783076671761898,0.027816087746915373,1
Isaiah,5.0,22.0,woe unto mighty drink wine man strength mingle strong drink,0.016756222534352952,0.5840416752675105,0.3487950648555489,0.01672771007339226,0.01691048529610292,0.016768841973092332,1
Isaiah,5.0,23.0,justify wicked reward away righteousness righteous,0.024052434911817525,0.023882288512152586,0.023884090071051696,0.880426368753791,0.02384877594644387,0.023906041804743348,3
Isaiah,5.0,24.0,fire devoureth stubble flame consumeth chaff root shall rottenness blossom shall dust cast away law lord host despise word holy israel,0.010473766872504515,0.01053757846589066,0.9475714896779537,0.010501720066628664,0.010456078342397921,0.010459366574624571,2
Isaiah,5.0,25.0,anger lord kindle people hath stretch forth hand hath smitten hill tremble carcase tear midst street anger turn away hand stretch,0.008353063880626165,0.00837654357884802,0.008404477295681303,0.008437795318268064,0.008379988168283104,0.9580481317582933,5
Isaiah,5.0,26.0,lift ensign nation far hiss unto end earth behold shall come speed swiftly,0.9235219353482172,0.015291780998635809,0.015329960667012626,0.015301825646789427,0.015311581974201073,0.015242915365143802,0
Isaiah,5.0,27.0,shall weary stumble shall slumber sleep shall girdle loin loose latchet shoe break,0.01712996114069391,0.016815724885807255,0.9154036987371365,0.016783038472675767,0.01673201808400305,0.017135558679683482,2
Isaiah,5.0,28.0,arrow sharp bow bent horse hoof shall count like flint wheel like whirlwind,0.013934515965940624,0.013910025373892607,0.013979917168769498,0.9302486904274706,0.013931170575236365,0.013995680488690335,3
Isaiah,5.0,29.0,roaring shall like lion shall roar like young lion yea shall roar lay hold prey shall carry away safe shall deliver,0.01046609720944264,0.010427680264360067,0.010479152634539891,0.9477026299639443,0.010452845765269553,0.010471594162443542,3
Isaiah,5.0,30.0,day shall roar like roaring sea look unto land behold darkness sorrow light darken heaven thereof,0.01123194449393886,0.011212884583705547,0.38180252968867123,0.5732599041385513,0.011223088534198582,0.011269648560934506,3
Isaiah,6.0,1.0,year king uzziah die see lord sit throne high lift train fill temple,0.15874961222276363,0.015283432521762237,0.015249131762669196,0.25633671939043234,0.5390964575169964,0.015284646585376262,4
Isaiah,6.0,2.0,stand seraphim wing twain cover face twain cover foot twain fly,0.018605656785094363,0.018639968264896393,0.9068144248135828,0.01882692286383616,0.01857234987456378,0.018540677398026624,2
Isaiah,6.0,3.0,cry unto say holy holy holy lord host earth glory,0.018553409110196466,0.01875039302894337,0.9067929902830826,0.018635756664125067,0.01864575523807322,0.01862169567557927,2
Isaiah,6.0,4.0,post door move voice cry house fill smoke,0.0277780460958351,0.02798301573822749,0.027844886945285998,0.027795894251519005,0.8607819288218276,0.027816228147304882,4
Isaiah,6.0,5.0,say woe undo man unclean lip dwell midst people unclean lip eye see king lord host,0.010480337272309901,0.9474645868060962,0.010532506465637392,0.010541305880959124,0.010504691904473255,0.010476571670524052,1
Isaiah,6.0,6.0,fly seraphim unto have live coal hand take tong altar,0.4410838638034031,0.020873256612330617,0.02108184684257479,0.0212892424463723,0.47476137778204464,0.020910412513274603,4
Isaiah,6.0,7.0,lay mouth say lo hath touch thy lip thine iniquity take away thy sin purge,0.013989114854988194,0.013993300700179397,0.013947717231348297,0.9301380586049744,0.013933082926187336,0.01399872568232236,3
Isaiah,6.0,8.0,hear voice lord say shall send say send,0.020852984299426704,0.8953330528268946,0.020967428762016002,0.020910934056500675,0.02103477430699611,0.020900825748165923,1
Isaiah,6.0,9.0,say tell people hear ye understand ye perceive,0.023861686615764616,0.8806220895152591,0.023865692355040186,0.023863743429470265,0.02386587691154338,0.023920911172922468,1
Isaiah,6.0,10.0,heart people fat ear heavy shut eye lest eye hear ear understand heart convert heal,0.010526338253379161,0.4640791612519857,0.010532746210002115,0.010486975004548189,0.01046141019688535,0.49391336908319944,5
Isaiah,6.0,11.0,say lord long answer city waste inhabitant house man land utterly desolate,0.012887912198790203,0.9353374650725567,0.012924299498739193,0.012903667865125321,0.012955670793283088,0.012990984571505628,1
Isaiah,6.0,12.0,lord remove man far away great forsaking midst land,0.018748331818892506,0.01866589800785865,0.018741243162038967,0.018730174232462916,0.0186544914857861,0.9064598612929609,5
Isaiah,6.0,13.0,shall tenth shall return shall eat teil tree oak substance cast leave holy seed shall substance thereof,0.016839236770655724,0.01672168426471931,0.016828989634350356,0.016806636845176894,0.9159258567004089,0.016877595784688827,4
Isaiah,7.0,1.0,come pass day ahaz son jotham son uzziah king judah rezin king syria pekah son remaliah king israel go jerusalem war prevail,0.007948787034418498,0.959594627617341,0.008274965477953162,0.008042531911939857,0.008169137540617875,0.00796995041772957,1
Isaiah,7.0,2.0,tell house david say syria confederate ephraim heart move heart people tree wood move wind,0.012882120519140903,0.47422746003599825,0.012880074091750241,0.012856902922875954,0.012914870394361103,0.4742385720358736,5
Isaiah,7.0,3.0,say lord unto isaiah forth meet ahaz thou shearjashub thy son end conduit upper pool highway fuller field,0.01126721392380867,0.5329884760762346,0.011198629313896572,0.011156090298250822,0.4222007823510113,0.01118880803679809,1
Isaiah,7.0,4.0,unto heed quiet fear fainthearte tail smoking firebrand fierce anger rezin syria son remaliah,0.013946411672408593,0.9301454067915883,0.013964108336708789,0.0139980355368984,0.013920358210992547,0.014025679451403268,1
Isaiah,7.0,5.0,syria ephraim son remaliah take evil counsel thee say,0.02099219518290968,0.6657989355915312,0.020891079533964723,0.02084313378717909,0.02088397117697173,0.25059068472744345,1
Isaiah,7.0,6.0,let judah vex let breach set king midst son tabeal,0.016862414974111745,0.7933348009507282,0.01671964868728926,0.01689809025589051,0.01670677366586369,0.13947827146611658,1
Isaiah,7.0,7.0,saith lord god shall stand shall come pass,0.023884913363670768,0.5381296118713602,0.024104955829365154,0.024061908710128987,0.3658116786992293,0.02400693152624566,1
Isaiah,7.0,8.0,head syria damascus head damascus rezin threescore year shall ephraim break people,0.015210069005675052,0.01530849802489181,0.015190894749246472,0.015213971045357315,0.01516406138888327,0.9239125057859461,5
Isaiah,7.0,9.0,head ephraim samaria head samaria remaliah son ye believe surely ye shall establish,0.015227672850150288,0.015403346465640374,0.015187894124304897,0.015289844780395042,0.015345725515348551,0.9235455162641609,5
Isaiah,7.0,10.0,lord spake unto ahaz say,0.03339059807189339,0.8322893704359537,0.03363198019840457,0.03351437378285686,0.0336893354495286,0.03348434206136279,1
Isaiah,7.0,11.0,ask thee sign lord thy god ask depth height,0.020854592387506247,0.020877780696098063,0.02093368230402601,0.020917876487301527,0.8955679952222035,0.020848072902864542,4
Isaiah,7.0,12.0,ahaz say ask tempt lord,0.03336429205976779,0.4707842947962813,0.033610861234838176,0.03353043617061265,0.3952513385399063,0.03345877719859375,1
Isaiah,7.0,13.0,say hear ye o house david small thing weary man ye weary god,0.015178049416880501,0.9238688326617639,0.01524774115286206,0.0152070560031389,0.01526163172697413,0.01523668903838058,1
Isaiah,7.0,14.0,lord shall sign behold virgin shall conceive bear son shall immanuel,0.32356931006568795,0.6014790431121886,0.018809323282434835,0.018676374883639893,0.018830375228448392,0.018635573427600444,1
Isaiah,7.0,15.0,butter honey shall eat know refuse evil choose good,0.018708994253243405,0.018598412484320176,0.018548197527445406,0.018518629731704796,0.01864647952007894,0.9069792864832072,5
Isaiah,7.0,16.0,child shall know refuse evil choose good land thou abhorrest shall forsake king,0.016833157074414466,0.01689776243297739,0.016853216177897305,0.01704690069476955,0.016807835711692514,0.9155611279082487,5
Isaiah,7.0,17.0,lord shall bring thee thy people thy father house day come day ephraim depart judah king assyria,0.011970356770574312,0.6299924286209106,0.012018730266183185,0.012134857625773397,0.011994336451426058,0.3218892902651324,1
