book,chapter,verse,text
Isaiah,8,14,shall sanctuary stone stumble rock offence house israel gin snare inhabitant jerusalem
Isaiah,8,15,shall stumble fall break snare take
Isaiah,8,16,bind testimony seal law disciple
Isaiah,8,17,wait lord hideth face house jacob look
Isaiah,8,18,behold child lord hath give sign wonder israel lord host dwelleth mount zion
Isaiah,8,19,shall unto seek unto familiar spirit unto wizard peep mutter people seek unto god living dead
Isaiah,8,20,law testimony speak accord word light
Isaiah,8,21,shall pass hardly bestead hungry shall come pass shall hungry shall fret curse king god look upward
Isaiah,8,22,shall look unto earth behold trouble darkness dimness anguish shall drive darkness
Isaiah,9,1,dimness shall vexation lightly afflict land zebulun land naphtali afterward grievously afflict way sea jordan galilee nation
Isaiah,9,2,people walk darkness see great light dwell land shadow death hath light shine
Isaiah,9,3,thou hast multiply nation increase joy joy thee accord joy harvest man rejoice divide spoil
Isaiah,9,4,thou hast break yoke burden staff shoulder rod oppressor day midian
Isaiah,9,5,battle warrior confused noise garment roll blood shall burning fuel fire
Isaiah,9,6,unto child bear unto son give government shall shoulder shall call wonderful counsellor mighty god everlasting father prince peace
Isaiah,9,7,increase government peace shall end throne david kingdom order establish judgment justice henceforth zeal lord host perform
Isaiah,9,8,lord send word jacob hath light israel
Isaiah,9,9,people shall know ephraim inhabitant samaria pride stoutness heart
Isaiah,9,10,brick fall build hewn stone sycomore cut change cedar
Isaiah,9,11,lord shall set adversary rezin join enemy
Isaiah,9,12,syrians philistines shall devour israel open mouth anger turn away hand stretch
Isaiah,9,13,people turneth unto smiteth seek lord host
Isaiah,9,14,lord cut israel head tail branch rush day
Isaiah,9,15,ancient honourable head prophet teacheth lie tail
Isaiah,9,16,leader people cause err lead destroy
Isaiah,9,17,lord shall joy young man shall mercy fatherless widow hypocrite evildoer mouth speaketh folly anger turn away hand stretch
Isaiah,9,18,wickedness burneth fire shall devour brier thorn shall kindle thicket forest shall mount like lifting smoke
Isaiah,9,19,wrath lord host land darken people shall fuel fire man shall spare brother
Isaiah,9,20,shall snatch right hand hungry shall eat left hand shall satisfied shall eat man flesh arm
Isaiah,9,21,manasseh ephraim ephraim manasseh shall judah anger turn away hand stretch
Isaiah,10,1,woe unto decree unrighteous decree write grievousness prescribe
Isaiah,10,2,turn aside needy judgment away right poor people widow prey rob fatherless
Isaiah,10,3,ye day visitation desolation shall come far ye flee help ye leave glory
Isaiah,10,4,shall bow prisoner shall fall slain anger turn away hand stretch
Isaiah,10,5,o assyrian rod anger staff hand indignation
Isaiah,10,6,send hypocritical nation people wrath charge spoil prey tread like mire street
Isaiah,10,7,howbeit meaneth doth heart think heart destroy cut nation
Isaiah,10,8,saith prince altogether king
Isaiah,10,9,calno carchemish hamath arpad samaria damascus
Isaiah,10,10,hand hath find kingdom idol graven image excel jerusalem samaria
Isaiah,10,11,shall unto samaria idol jerusalem idol
Isaiah,10,12,wherefore shall come pass lord hath perform work mount zion jerusalem punish fruit stout heart king assyria glory high look
Isaiah,10,13,saith strength hand wisdom prudent remove bound people rob treasure inhabitant like valiant man
Isaiah,10,14,hand hath find nest rich people gathereth egg leave gather earth move wing open mouth peep
Isaiah,10,15,shall axe boast heweth therewith shall saw magnify shaketh rod shake lift staff lift wood
Isaiah,10,16,shall lord lord host send fat one leanness glory shall kindle burning like burning fire
Isaiah,10,17,light israel shall fire holy flame shall burn devour thorn brier day
Isaiah,10,18,shall consume glory forest fruitful field soul body shall standardbearer fainteth
Isaiah,10,19,rest tree forest shall child write
Isaiah,10,20,shall come pass day remnant israel escape house jacob shall stay smite shall stay lord holy israel truth
Isaiah,10,21,remnant shall return remnant jacob unto mighty god
Isaiah,10,22,thy people israel sand sea remnant shall return consumption decreed shall overflow righteousness
Isaiah,10,23,lord god host shall consumption determined midst land
Isaiah,10,24,saith lord god host o people dwell zion afraid assyrian shall smite thee rod shall lift staff thee manner egypt
Isaiah,10,25,little indignation shall cease anger destruction
Isaiah,10,26,lord host shall stir scourge accord slaughter midian rock oreb rod sea shall lift manner egypt
Isaiah,10,27,shall come pass day burden shall take away thy shoulder yoke thy neck yoke shall destroy anointing
Isaiah,10,28,come aiath pass migron michmash hath lay carriage
Isaiah,10,29,go passage take lodging geba ramah afraid gibeah saul flee
Isaiah,10,30,lift thy voice o daughter gallim cause hear unto laish o poor anathoth
Isaiah,10,31,madmenah remove inhabitant gebim gather flee
Isaiah,10,32,shall remain nob day shall shake hand mount daughter zion hill jerusalem
Isaiah,10,33,behold lord lord host shall lop bough terror high one stature shall hew haughty shall humble
Isaiah,10,34,shall cut thicket forest iron lebanon shall fall mighty
Isaiah,11,1,shall come forth rod stem jesse branch shall grow root
Isaiah,11,2,spirit lord shall rest spirit wisdom understand spirit counsel spirit knowledge fear lord
Isaiah,11,3,shall quick understanding fear lord shall judge sight eye reprove hearing ear
Isaiah,11,4,righteousness shall judge poor reprove equity meek earth shall smite earth rod mouth breath lip shall slay wicked
Isaiah,11,5,righteousness shall girdle loin faithfulness girdle rein
Isaiah,11,6,wolf shall dwell lamb leopard shall lie kid calf young lion fatle little child shall lead
Isaiah,11,7,cow bear shall feed young one shall lie lion shall eat straw like ox
Isaiah,11,8,suck child shall play hole asp wean child shall hand cockatrice den
Isaiah,11,9,shall hurt destroy holy mountain earth shall knowledge lord water cover sea
Isaiah,11,10,day shall root jesse shall stand ensign people shall gentile seek rest shall glorious
Isaiah,11,11,shall come pass day lord shall set hand second time recover remnant people shall leave assyria egypt pathros cush elam shinar hamath island sea
Isaiah,11,12,shall set ensign nation shall assemble outcast israel gather disperse judah corner earth
Isaiah,11,13,envy ephraim shall depart adversary judah shall cut ephraim shall envy judah judah shall vex ephraim
Isaiah,11,14,shall fly shoulder philistines west shall spoil east shall lay hand edom moab child ammon shall obey
Isaiah,11,15,lord shall utterly destroy tongue egyptian sea mighty wind shall shake hand river shall smite seven stream man dryshod
Isaiah,11,16,shall highway remnant people shall leave assyria like israel day come land egypt
Isaiah,12,1,day thou shalt o lord praise thee thou wast angry thine anger turn away thou comfortedst
Isaiah,12,2,behold god salvation trust afraid lord jehovah strength song salvation
Isaiah,12,3,joy shall ye draw water well salvation
Isaiah,12,4,day shall ye praise lord declare doing people mention exalt
Isaiah,12,5,sing unto lord hath excellent thing know earth
Isaiah,12,6,cry shout thou inhabitant zion great holy israel midst thee
Isaiah,13,1,burden babylon isaiah son amoz
Isaiah,13,2,lift ye banner high mountain exalt voice unto shake hand gate noble
Isaiah,13,3,command sanctify one call mighty one anger rejoice highness
Isaiah,13,4,noise multitude mountain like great people tumultuous noise kingdom nation gather lord host mustereth host battle
Isaiah,13,5,come far country end heaven lord weapon indignation destroy land
Isaiah,13,6,howl ye day lord hand shall come destruction almighty
Isaiah,13,7,shall hand faint mans heart shall melt
Isaiah,13,8,shall afraid pang sorrow shall hold shall pain woman travaileth shall amazed face shall flame
Isaiah,13,9,behold day lord cometh cruel wrath fierce anger lay land desolate shall destroy sinner thereof
Isaiah,13,10,star heaven constellation thereof shall light sun shall darken go forth moon shall cause light shine
Isaiah,13,11,punish world evil wicked iniquity cause arrogancy proud cease lay low haughtiness terrible
Isaiah,13,12,man precious fine gold man golden wedge ophir
Isaiah,13,13,shake heaven earth shall remove place wrath lord host day fierce anger
Isaiah,13,14,shall chased roe sheep man taketh shall man turn people flee land
Isaiah,13,15,find shall thrust join unto shall fall sword
Isaiah,13,16,child shall dash piece eye house shall spoil wife ravish
Isaiah,13,17,behold stir mede shall regard silver gold shall delight
Isaiah,13,18,bow shall dash young man piece shall pity fruit womb eye shall spare child
Isaiah,13,19,babylon glory kingdom beauty chaldee excellency shall god overthrow sodom gomorrah
Isaiah,13,20,shall inhabit shall dwelt generation generation shall arabian pitch tent shall shepherd fold
Isaiah,13,21,wild beast desert shall lie house shall doleful creature owl shall dwell satyr shall dance
Isaiah,13,22,wild beast island shall cry desolate house dragon pleasant palace time near come day shall prolong
Isaiah,14,1,lord mercy jacob choose israel set land stranger shall join shall cleave house jacob
Isaiah,14,2,people shall bring place house israel shall possess land lord servant handmaid shall captive captive shall rule oppressor
Isaiah,14,3,shall come pass day lord shall thee rest thy sorrow thy fear hard bondage thou wast serve
Isaiah,14,4,thou shalt proverb king babylon hath oppressor cease golden city cease
Isaiah,14,5,lord hath break staff wicked sceptre ruler
Isaiah,14,6,smite people wrath continual stroke rule nation anger persecute hindereth
Isaiah,14,7,earth rest quiet break forth singing
Isaiah,14,8,yea fir tree rejoice thee cedar lebanon say thou art lay feller come
Isaiah,14,9,hell beneath move thee meet thee thy come stirreth dead thee chief one earth hath raise throne king nation
Isaiah,14,10,shall speak unto thee art thou weak art thou like unto
Isaiah,14,11,thy pomp bring grave noise thy viol worm spread thee worm cover thee
Isaiah,14,12,art thou fall heaven o lucifer son morning art thou cut ground didst weaken nation
Isaiah,14,13,thou hast say thine heart ascend heaven exalt throne star god sit mount congregation side north
Isaiah,14,14,ascend height cloud like high
Isaiah,14,15,thou shalt bring hell side pit
Isaiah,14,16,thee shall narrowly look thee consider thee say man earth tremble shake kingdom
Isaiah,14,17,world wilderness destroy city thereof open house prisoner
Isaiah,14,18,king nation lie glory house
Isaiah,14,19,thou art cast thy grave like abominable branch raiment slain thrust sword stone pit carcase trodden foot
Isaiah,14,20,thou shalt join burial thou hast destroy thy land slain thy people seed evildoer shall renowne
Isaiah,14,21,prepare slaughter child iniquity father rise possess land fill face world city
Isaiah,14,22,rise saith lord host cut babylon remnant son nephew saith lord
Isaiah,14,23,possession bittern pool water sweep besom destruction saith lord host
Isaiah,14,24,lord host hath swear say surely think shall come pass purpose shall stand
Isaiah,14,25,break assyrian land mountain tread foot shall yoke depart burden depart shoulder
Isaiah,14,26,purpose purpose earth hand stretch nation
Isaiah,14,27,lord host hath purpose shall disannul hand stretch shall turn
Isaiah,14,28,year king ahaz die burden
Isaiah,14,29,rejoice thou palestina rod smote thee break serpent root shall come forth cockatrice fruit shall fiery fly serpent
Isaiah,14,30,firstborn poor shall feed needy shall lie safety kill thy root famine shall slay thy remnant
Isaiah,14,31,howl o gate cry o city thou palestina art dissolve shall come north smoke shall appoint time
Isaiah,14,32,shall answer messenger nation lord hath found zion poor people shall trust
Isaiah,15,1,burden moab night ar moab lay waste bring silence night kir moab lay waste bring silence
Isaiah,15,2,go bajith dibon high place weep moab shall howl nebo medeba head shall baldness beard cut
Isaiah,15,3,street shall gird sackcloth top house street shall howl weep abundantly
Isaiah,15,4,heshbon shall cry elealeh voice shall hear unto jahaz armed soldier moab shall cry life shall grievous unto
Isaiah,15,5,heart shall cry moab fugitive shall flee unto zoar heifer year old mount luhith weep shall way horonaim shall raise cry destruction
Isaiah,15,6,water nimrim shall desolate hay wither away grass faileth green thing
Isaiah,15,7,abundance get lay shall carry away brook willow
Isaiah,15,8,cry go round border moab howl thereof unto eglaim howl thereof unto beerelim
Isaiah,15,9,water dimon shall blood bring dimon lion escapeth moab remnant land
Isaiah,16,1,send ye lamb ruler land sela wilderness unto mount daughter zion
Isaiah,16,2,shall wandering bird cast nest daughter moab shall ford arnon
Isaiah,16,3,counsel execute judgment thy shadow night midst noonday hide outcast bewray wandereth
Isaiah,16,4,let outcast dwell thee moab thou covert face spoiler extortioner end spoiler ceaseth oppressor consume land
Isaiah,16,5,mercy shall throne establish shall sit truth tabernacle david judging seek judgment hasting righteousness
Isaiah,16,6,hear pride moab proud haughtiness pride wrath lie shall
Isaiah,16,7,shall moab howl moab shall howl foundation kirhareseth shall ye mourn surely stricken
Isaiah,16,8,field heshbon languish vine sibmah lord heathen break principal plant thereof come unto jazer wander wilderness branch stretch go sea
Isaiah,16,9,bewail weeping jazer vine sibmah water thee tear o heshbon elealeh shouting thy summer fruit thy harvest fall
Isaiah,16,10,gladness take away joy plentiful field vineyard shall singing shall shout treader shall tread wine press vintage shout cease
Isaiah,16,11,wherefore bowel shall sound like harp moab inward part kirharesh
Isaiah,16,12,shall come pass see moab weary high place shall come sanctuary pray shall prevail
Isaiah,16,13,word lord hath speak concern moab time
Isaiah,16,14,lord hath speak say year year hireling glory moab shall contemn great multitude remnant shall small feeble
Isaiah,17,1,burden damascus behold damascus take away city shall ruinous heap
Isaiah,17,2,city aroer forsake shall flock shall lie shall afraid
Isaiah,17,3,fortress shall cease ephraim kingdom damascus remnant syria shall glory child israel saith lord host
Isaiah,17,4,day shall come pass glory jacob shall thin fatness flesh shall wax lean
Isaiah,17,5,shall harvestman gathereth corn reapeth ear arm shall gathereth ear valley rephaim
Isaiah,17,6,glean grape shall leave shaking olive tree berry uppermost bough outmost fruitful branch thereof saith lord god israel
Isaiah,17,7,day shall man look maker eye shall respect holy israel
Isaiah,17,8,shall look altar work hand shall respect finger grove image
Isaiah,17,9,day shall strong city forsaken bough uppermost branch leave child israel shall desolation
Isaiah,17,10,thou hast forget god thy salvation hast mindful rock thy strength shalt thou plant pleasant plant shalt set strange slip
Isaiah,17,11,day shalt thou thy plant grow morning shalt thou thy seed flourish harvest shall heap day grief desperate sorrow
Isaiah,17,12,woe multitude people noise like noise sea rushing nation rushing like rushing mighty water
Isaiah,17,13,nation shall rush like rushing water god shall rebuke shall flee far shall chase chaff mountain wind like rolling thing whirlwind
Isaiah,17,14,behold eveningtide trouble morning portion spoil lot rob
Isaiah,18,1,woe land shadow wing river ethiopia
Isaiah,18,2,sendeth ambassador sea vessel bulrush water say ye swift messenger nation scatter peel people terrible beginning hitherto nation mete trodden land river spoil
Isaiah,18,3,ye inhabitant world dweller earth ye lifteth ensign mountain bloweth trumpet hear ye
Isaiah,18,4,lord say unto rest consider dwelling place like clear heat herb like cloud dew heat harvest
Isaiah,18,5,afore harvest bud perfect sour grape ripen flower shall cut sprig prune hook away cut branch
Isaiah,18,6,shall leave unto fowl mountain beast earth fowl shall summer beast earth shall winter
Isaiah,18,7,time shall present bring unto lord host people scatter peel people terrible beginning hitherto nation mete trodden foot land river spoil place lord host mount zion
Isaiah,19,1,burden egypt behold lord rideth swift cloud shall come egypt idol egypt shall move presence heart egypt shall melt midst
Isaiah,19,2,set egyptians egyptians shall fight brother neighbour city city kingdom kingdom
Isaiah,19,3,spirit egypt shall fail midst thereof destroy counsel thereof shall seek idol charmer familiar spirit wizard
Isaiah,19,4,egyptians hand cruel lord fierce king shall rule saith lord lord host
Isaiah,19,5,water shall fail sea river shall waste dry
Isaiah,19,6,shall turn river far away brooks defence shall empty dry reed flag shall wither
Isaiah,19,7,paper reed brook mouth brook thing sow brooks shall wither drive away
Isaiah,19,8,fisher shall mourn cast angle brooks shall lament spread net water shall languish
Isaiah,19,9,work fine flax weave network shall confound
Isaiah,19,10,shall break purpose thereof sluice pond fish
Isaiah,19,11,surely prince zoan fool counsel wise counsellor pharaoh brutish ye unto pharaoh son wise son ancient king
Isaiah,19,12,thy wise man let tell thee let know lord host hath purpose egypt
Isaiah,19,13,prince zoan fool prince noph deceive seduce egypt stay tribe thereof
Isaiah,19,14,lord hath mingle perverse spirit midst thereof cause egypt err work thereof drunken man staggereth vomit
Isaiah,19,15,shall work egypt head tail branch rush
Isaiah,19,16,day shall egypt like unto woman shall afraid fear shaking hand lord host shaketh
Isaiah,19,17,land judah shall terror unto egypt maketh mention thereof shall afraid counsel lord host hath determined
Isaiah,19,18,day shall city land egypt speak language canaan swear lord host shall call city destruction
Isaiah,19,19,day shall altar lord midst land egypt pillar border thereof lord
Isaiah,19,20,shall sign witness unto lord host land egypt shall cry unto lord oppressor shall send saviour great shall deliver
Isaiah,19,21,lord shall know egypt egyptians shall know lord day shall sacrifice oblation yea shall vow vow unto lord perform
Isaiah,19,22,lord shall smite egypt shall smite heal shall return lord shall intreate shall heal
Isaiah,19,23,day shall highway egypt assyria assyrian shall come egypt egyptian assyria egyptians shall serve assyrian
Isaiah,19,24,day shall israel egypt assyria blessing midst land
Isaiah,19,25,lord host shall bless say bless egypt people assyria work hand israel inheritance
Isaiah,20,1,year tartan come unto ashdod sargon king assyria send fight ashdod take
Isaiah,20,2,time spake lord isaiah son amoz saying loose sackcloth thy loin thy shoe thy foot walk naked barefoot
Isaiah,20,3,lord say like servant isaiah hath walk naked barefoot year sign wonder egypt ethiopia
